Date;exchange
1/05/2013;2.644386364
1/06/2013;2.7475
1/07/2013;2.776714286
1/08/2013;2.801738095
1/09/2013;2.778571429
1/10/2013;2.769119048
1/11/2013;2.798125
1/12/2013;2.78525
1/01/2014;2.808931818
1/02/2014;2.81265
1/03/2014;2.806380952
1/04/2014;2.794375
1/05/2014;2.78697619
1/06/2014;2.794238095
1/07/2014;2.786095238
1/08/2014;2.81447619
1/09/2014;2.863954545
1/10/2014;2.906045455
1/11/2014;2.925075
1/12/2014;2.9615
1/01/2015;3.005525
1/02/2015;3.078525
1/03/2015;3.091681818
1/04/2015;3.1199525
1/05/2015;3.15045
1/06/2015;3.161238095
1/07/2015;3.18125
1/08/2015;3.238357143
1/09/2015;3.218613636
1/10/2015;3.248375
1/11/2015;3.336642857
1/12/2015;3.382666667
1/01/2016;3.437325
1/02/2016;3.505904762
1/03/2016;3.407380952
1/04/2016;3.301547619
1/05/2016;3.333727273
1/06/2016;3.316571429
1/07/2016;3.298736842
1/08/2016;3.333045455
1/09/2016;3.382295455
1/10/2016;3.385952381
1/11/2016;3.402894737
1/12/2016;3.395357143
1/01/2017;3.34
1/02/2017;3.259825
1/03/2017;3.26373913
1/04/2017;3.247361111
1/05/2017;3.272863636
1/06/2017;3.2678
1/07/2017;3.248921053
1/08/2017;3.241431818
1/09/2017;3.246166667
1/10/2017;3.251045455
1/11/2017;3.24052381
1/12/2017;3.246184211
1/01/2018;3.215166667
1/02/2018;3.248375
1/03/2018;3.2519
1/04/2018;3.230625
1/05/2018;3.273613636
1/06/2018;3.27095
1/07/2018;3.276595238
1/08/2018;3.288071429
1/09/2018;3.311325
1/10/2018;3.333909091
1/11/2018;3.374675
1/12/2018;3.364026316
1/01/2019;3.343863636
1/02/2019;3.321475
1/03/2019;3.304690476
1/04/2019;3.303825
1/05/2019;3.332363636
1/06/2019;3.32565
1/07/2019;3.290214286
1/08/2019;3.37756
1/09/2019;3.357357143
1/10/2019;3.359761905
1/11/2019;3.3717
1/12/2019;3.355190476
1/01/2020;3.327363636
1/02/2020;3.39035
1/03/2020;3.491363636
1/04/2020;3.3975
1/05/2020;3.42115
1/06/2020;3.470166667
1/07/2020;3.516568182
1/08/2020;3.563928571
1/09/2020;3.554909091
1/10/2020;3.595613636
